,placenamelist
0,"
        Everest Base Camp Trek    "
1,"
        Everest Base Camp Trek    "
2,"
        Annapurna Base Camp Trek    "
3,"
        Everest Base Camp/ Kalapathar Trek     "
4,"
        Ghorepani Poon Hill Sunrise Trek    "
5,"
        Annapurna Circuit Trek    "
6,"
        Everest Base Camp Trek    "
7,"
        Annapurna Base Camp Trek    "
8,"
        16 Days Manaslu Circuit Trekking    "
9,"
         Everest Base Camp Trek    "
10,"
        Everest Base Camp - Chola Pass- Gokyo Trek    "
11,"
        Langtang Valley View Trekking    "
12,"
        Poonhill trek    "
13,"
        15 Day Annapurna Circuit Trek with Tilicho Lake    "
